index,type,width,height,x,y,frameWidth,frameHeight,isReference,refIndex
0,INDEXED/ARGB1555,53,107,216,195,500,500,0,
1,INDEXED/ARGB1555,60,99,202,203,500,500,0,
2,INDEXED/ARGB1555,59,94,200,208,500,500,0,
3,INDEXED/ARGB1555,61,94,202,208,500,500,0,
4,INDEXED/ARGB1555,67,93,196,209,500,500,0,
5,INDEXED/ARGB1555,71,93,192,209,500,500,0,
6,INDEXED/ARGB1555,73,93,190,209,500,500,0,
7,REFERENCE,,,,,,,1,4
8,REFERENCE,,,,,,,1,3
9,INDEXED/ARGB1555,54,101,222,201,500,500,0,
10,INDEXED/ARGB1555,53,103,226,198,500,500,0,
11,INDEXED/ARGB1555,56,103,228,198,500,500,0,
12,INDEXED/ARGB1555,57,103,229,199,500,500,0,
13,INDEXED/ARGB1555,52,103,229,198,500,500,0,
14,INDEXED/ARGB1555,53,101,227,200,500,500,0,
15,INDEXED/ARGB1555,53,107,216,195,500,500,0,
16,INDEXED/ARGB1555,79,99,218,203,500,500,0,
17,INDEXED/ARGB1555,48,94,245,201,500,500,0,
18,INDEXED/ARGB1555,102,93,241,203,500,500,0,
19,INDEXED/ARGB1555,102,93,241,202,500,500,0,
20,REFERENCE,,,,,,,1,18
21,INDEXED/ARGB1555,66,100,251,201,500,500,0,
22,INDEXED/ARGB1555,82,100,259,199,500,500,0,
23,INDEXED/ARGB1555,60,111,289,189,500,500,0,
24,INDEXED/ARGB1555,60,111,290,188,500,500,0,
25,REFERENCE,,,,,,,1,23
26,INDEXED/ARGB1555,53,107,216,195,500,500,0,
27,INDEXED/ARGB1555,48,108,214,195,500,500,0,
28,INDEXED/ARGB1555,97,138,205,164,500,500,0,
29,INDEXED/ARGB1555,91,111,205,191,500,500,0,
30,INDEXED/ARGB1555,72,111,205,191,500,500,0,
31,INDEXED/ARGB1555,60,111,205,191,500,500,0,
32,REFERENCE,,,,,,,1,0
33,INDEXED/ARGB1555,63,85,205,218,500,500,0,
34,INDEXED/ARGB1555,63,74,205,229,500,500,0,
35,INDEXED/ARGB1555,63,74,204,229,500,500,0,
36,REFERENCE,,,,,,,1,34
37,REFERENCE,,,,,,,1,35
38,REFERENCE,,,,,,,1,34
39,INDEXED/ARGB1555,63,74,203,229,500,500,0,
40,REFERENCE,,,,,,,1,35
41,INDEXED/ARGB1555,81,99,205,204,500,500,0,
42,INDEXED/ARGB1555,81,100,205,203,500,500,0,
43,REFERENCE,,,,,,,1,0
44,INDEXED/ARGB1555,66,92,219,211,500,500,0,
45,INDEXED/ARGB1555,66,92,220,210,500,500,0,
46,REFERENCE,,,,,,,1,44
47,INDEXED/ARGB1555,54,99,225,207,500,500,0,
48,INDEXED/ARGB1555,54,99,226,206,500,500,0,
49,REFERENCE,,,,,,,1,47
50,INDEXED/ARGB1555,99,54,198,228,500,500,0,
51,INDEXED/ARGB1555,92,66,183,243,500,500,0,
52,INDEXED/ARGB1555,120,35,167,280,500,500,0,
53,INDEXED/ARGB1555,55,70,221,234,500,500,0,
