index,type,width,height,x,y,frameWidth,frameHeight,isReference,refIndex
0,INDEXED/ARGB1555,71,107,189,231,500,500,0,
1,INDEXED/ARGB1555,71,107,189,231,500,500,0,
2,INDEXED/ARGB1555,64,107,197,231,500,500,0,
3,INDEXED/ARGB1555,88,93,201,245,500,500,0,
4,INDEXED/ARGB1555,77,90,202,249,500,500,0,
5,INDEXED/ARGB1555,77,90,202,249,500,500,0,
6,INDEXED/ARGB1555,77,90,202,249,500,500,0,
7,INDEXED/ARGB1555,77,90,202,249,500,500,0,
8,INDEXED/ARGB1555,77,90,202,249,500,500,0,
9,INDEXED/ARGB1555,77,90,202,249,500,500,0,
10,INDEXED/ARGB1555,78,92,209,247,500,500,0,
11,INDEXED/ARGB1555,81,93,208,246,500,500,0,
12,INDEXED/ARGB1555,92,93,207,246,500,500,0,
13,INDEXED/ARGB1555,78,90,190,248,500,500,0,
14,INDEXED/ARGB1555,79,90,189,248,500,500,0,
15,INDEXED/ARGB1555,79,90,189,248,500,500,0,
16,INDEXED/ARGB1555,79,90,189,248,500,500,0,
17,INDEXED/ARGB1555,79,90,189,248,500,500,0,
18,INDEXED/ARGB1555,79,90,189,248,500,500,0,
19,INDEXED/ARGB1555,79,90,189,248,500,500,0,
20,INDEXED/ARGB1555,79,90,189,248,500,500,0,
21,INDEXED/ARGB1555,78,92,209,247,500,500,0,
22,INDEXED/ARGB1555,81,93,208,246,500,500,0,
23,INDEXED/ARGB1555,92,93,207,246,500,500,0,
24,INDEXED/ARGB1555,78,90,190,248,500,500,0,
25,INDEXED/ARGB1555,79,90,189,248,500,500,0,
26,INDEXED/ARGB1555,79,90,189,248,500,500,0,
27,INDEXED/ARGB1555,79,90,189,248,500,500,0,
28,INDEXED/ARGB1555,79,90,189,248,500,500,0,
29,INDEXED/ARGB1555,79,90,189,248,500,500,0,
30,INDEXED/ARGB1555,79,90,189,248,500,500,0,
31,INDEXED/ARGB1555,79,90,189,248,500,500,0,
32,INDEXED/ARGB1555,81,93,208,246,500,500,0,
33,INDEXED/ARGB1555,65,85,190,253,500,500,0,
34,INDEXED/ARGB1555,64,82,197,256,500,500,0,
35,INDEXED/ARGB1555,87,83,240,253,500,500,0,
36,INDEXED/ARGB1555,83,108,237,228,500,500,0,
37,INDEXED/ARGB1555,77,111,237,225,500,500,0,
38,INDEXED/ARGB1555,77,111,237,225,500,500,0,
39,INDEXED/ARGB1555,77,111,237,225,500,500,0,
40,INDEXED/ARGB1555,77,111,237,225,500,500,0,
41,INDEXED/ARGB1555,77,111,237,225,500,500,0,
42,INDEXED/ARGB1555,65,85,190,253,500,500,0,
43,INDEXED/ARGB1555,64,82,197,256,500,500,0,
44,INDEXED/ARGB1555,87,83,240,253,500,500,0,
45,INDEXED/ARGB1555,83,108,237,228,500,500,0,
46,INDEXED/ARGB1555,77,111,237,225,500,500,0,
47,INDEXED/ARGB1555,77,111,237,225,500,500,0,
48,INDEXED/ARGB1555,77,111,237,225,500,500,0,
